customer_id,country,country_risk_category,is_pep,account_age_months,monthly_txn_count,avg_txn_amount,cash_txn_ratio,cross_border_txn_ratio,has_adverse_media,kyc_doc_complete,channel,high_risk
CUST00001,Country_B,high,0,30,6,1086.86,0.33,0.18,0,1,mobile,1
CUST00002,Country_J,low,0,17,11,1551.26,0.11,0.24,0,1,online,0
CUST00003,Country_I,low,0,54,15,7567.9,0.26,0.47,0,1,online,0
CUST00004,Country_I,low,0,26,12,37422.72,0.14,0.31,0,1,mobile,0
CUST00005,Country_J,low,0,46,11,20010.04,0.01,0.48,0,0,branch,0
CUST00006,Country_I,low,1,17,14,6055.06,0.1,0.07,0,1,mobile,1
CUST00007,Country_H,low,0,13,13,12096.7,0.24,0.39,0,1,branch,0
CUST00008,Country_D,medium,0,2,15,4595.62,0.25,0.41,0,1,branch,0
CUST00009,Country_I,low,0,5,13,1510.88,0.05,0.3,0,1,branch,0
CUST00010,Country_J,low,1,13,23,1382.82,0.27,0.24,0,1,mobile,0
CUST00011,Country_J,low,0,12,17,923.56,0.46,0.42,0,1,branch,0
CUST00012,Country_I,low,0,47,19,199268.84,0.38,0.11,0,1,branch,0
CUST00013,Country_H,low,0,120,17,3126.94,0.15,0.17,0,1,online,0
CUST00014,Country_E,medium,0,43,22,1758.98,0.1,0.21,0,1,online,0
CUST00015,Country_H,low,0,0,13,17882.22,0.13,0.16,0,1,online,0
CUST00016,Country_F,low,0,16,19,6225.67,0.04,0.16,0,1,online,0
CUST00017,Country_I,low,0,0,13,1584.34,0.13,0.19,0,1,branch,0
CUST00018,Country_D,medium,0,2,14,3847.42,0.15,0.03,0,0,mobile,0
CUST00019,Country_H,low,0,48,20,6976.82,0.06,0.0,0,1,branch,0
CUST00020,Country_J,low,0,8,18,5266.4,0.24,0.15,0,1,mobile,0
CUST00021,Country_I,low,0,12,8,7459.41,0.46,0.27,0,1,mobile,0
CUST00022,Country_J,low,0,19,16,1570.2,0.17,0.58,0,1,branch,0
CUST00023,Country_F,low,0,82,16,9620.01,0.18,0.03,0,1,mobile,0
CUST00024,Country_J,low,0,26,13,274.48,0.25,0.38,0,1,branch,0
CUST00025,Country_D,medium,0,42,11,1971.59,0.05,0.19,0,1,mobile,0
CUST00026,Country_I,low,0,21,17,62751.94,0.23,0.14,0,1,online,0
CUST00027,Country_G,low,0,10,22,2936.22,0.48,0.21,0,1,branch,1
CUST00028,Country_F,low,0,18,16,1717.8,0.27,0.15,0,1,branch,0
CUST00029,Country_J,low,0,25,24,8031.32,0.11,0.07,0,1,branch,0
CUST00030,Country_G,low,0,2,10,11511.07,0.19,0.2,0,1,mobile,0
CUST00031,Country_G,low,0,41,13,75185.23,0.37,0.21,1,1,mobile,0
CUST00032,Country_H,low,0,14,20,6703.56,0.17,0.15,0,1,mobile,0
CUST00033,Country_F,low,0,4,8,4377.14,0.14,0.08,0,1,branch,0
CUST00034,Country_A,high,0,14,16,8961.5,0.15,0.13,0,1,online,0
CUST00035,Country_D,medium,0,24,12,10531.05,0.07,0.11,0,1,branch,0
CUST00036,Country_J,low,0,3,21,2171.2,0.11,0.09,0,1,mobile,0
CUST00037,Country_G,low,0,16,11,8865.96,0.26,0.2,0,1,mobile,0
CUST00038,Country_F,low,0,6,11,2055.23,0.23,0.1,0,1,online,0
CUST00039,Country_F,low,0,15,20,24699.74,0.28,0.06,0,1,mobile,0
CUST00040,Country_F,low,0,4,15,3371.31,0.05,0.17,0,1,online,0
CUST00041,Country_C,high,0,15,16,2577.11,0.49,0.08,0,1,branch,1
CUST00042,Country_F,low,0,5,14,3205.51,0.36,0.09,0,1,mobile,0
CUST00043,Country_G,low,0,71,11,8153.56,0.1,0.14,0,1,mobile,0
CUST00044,Country_I,low,0,0,14,8668.04,0.12,0.25,0,1,mobile,0
CUST00045,Country_A,high,0,13,17,10604.43,0.13,0.1,0,1,online,0
CUST00046,Country_A,high,0,41,14,24898.86,0.2,0.17,0,1,mobile,0
CUST00047,Country_F,low,0,19,17,2662.61,0.25,0.23,0,1,online,0
CUST00048,Country_I,low,0,47,10,812.2,0.23,0.35,0,1,mobile,0
CUST00049,Country_H,low,0,0,19,509.19,0.13,0.26,0,1,branch,0
CUST00050,Country_G,low,0,32,19,21841.47,0.11,0.07,0,1,branch,0
CUST00051,Country_D,medium,0,2,14,7675.13,0.13,0.25,0,1,online,0
CUST00052,Country_J,low,0,4,14,4246.66,0.06,0.33,0,0,online,0
CUST00053,Country_I,low,0,14,14,3000.79,0.17,0.27,0,1,online,0
CUST00054,Country_H,low,0,26,14,4642.56,0.16,0.17,0,1,online,0
CUST00055,Country_G,low,0,30,13,6904.3,0.38,0.16,0,1,mobile,0
CUST00056,Country_I,low,1,1,16,13290.13,0.18,0.67,0,1,mobile,0
CUST00057,Country_J,low,0,30,18,4572.57,0.48,0.29,0,1,online,0
CUST00058,Country_E,medium,0,6,12,3984.23,0.26,0.31,0,1,branch,0
CUST00059,Country_H,low,0,8,18,2922.83,0.11,0.08,0,0,branch,0
CUST00060,Country_H,low,0,12,15,3400.43,0.16,0.39,0,0,branch,0
CUST00061,Country_J,low,0,23,12,1209.18,0.04,0.15,0,1,branch,0
CUST00062,Country_C,high,0,16,14,1299.23,0.07,0.06,0,0,branch,1
CUST00063,Country_C,high,0,15,14,16374.52,0.18,0.08,0,0,online,1
CUST00064,Country_E,medium,0,3,12,1264.35,0.29,0.07,0,1,mobile,0
CUST00065,Country_B,high,0,35,12,1692.18,0.45,0.46,0,0,online,1
CUST00066,Country_H,low,0,20,14,1911.28,0.16,0.14,0,1,online,0
CUST00067,Country_H,low,0,18,16,19980.87,0.24,0.23,0,1,online,0
CUST00068,Country_I,low,0,14,15,870.39,0.39,0.08,0,1,mobile,0
CUST00069,Country_D,medium,1,6,12,674.7,0.18,0.13,0,1,online,1
CUST00070,Country_H,low,0,2,18,2008.74,0.48,0.13,0,1,online,0
CUST00071,Country_J,low,0,16,17,11103.9,0.33,0.45,0,1,online,0
CUST00072,Country_E,medium,0,4,12,21834.4,0.05,0.28,0,1,branch,0
CUST00073,Country_H,low,0,2,11,3574.66,0.32,0.17,0,1,mobile,0
CUST00074,Country_E,medium,0,5,13,6917.48,0.04,0.07,0,0,online,0
CUST00075,Country_I,low,0,60,15,1159.83,0.08,0.19,0,1,mobile,0
CUST00076,Country_E,medium,0,52,17,9206.35,0.21,0.29,0,1,branch,0
CUST00077,Country_H,low,0,22,16,10284.32,0.12,0.27,0,0,online,0
CUST00078,Country_D,medium,0,41,18,4404.17,0.11,0.36,0,1,branch,0
CUST00079,Country_D,medium,0,33,14,4282.04,0.19,0.31,0,1,online,0
CUST00080,Country_G,low,0,0,13,472.86,0.16,0.03,0,1,mobile,0
CUST00081,Country_J,low,0,31,18,2589.1,0.07,0.39,0,1,mobile,0
CUST00082,Country_F,low,0,27,17,7259.39,0.1,0.04,0,1,online,0
CUST00083,Country_D,medium,0,4,14,15391.88,0.12,0.02,0,1,online,0
CUST00084,Country_H,low,0,10,23,162.84,0.17,0.36,0,1,mobile,0
CUST00085,Country_B,high,0,40,15,19530.39,0.19,0.2,0,1,branch,0
CUST00086,Country_J,low,0,7,19,645.52,0.36,0.11,0,1,branch,0
CUST00087,Country_H,low,0,47,13,1303.6,0.21,0.03,0,0,branch,0
CUST00088,Country_H,low,0,46,13,1603.41,0.24,0.11,0,1,mobile,0
CUST00089,Country_F,low,0,44,16,27578.99,0.09,0.11,1,0,online,1
CUST00090,Country_H,low,0,32,11,2003.18,0.18,0.09,0,1,online,0
CUST00091,Country_F,low,0,32,12,14462.94,0.18,0.35,0,1,branch,0
CUST00092,Country_I,low,0,50,15,709.49,0.19,0.23,0,1,mobile,0
CUST00093,Country_D,medium,0,27,18,9335.31,0.19,0.36,0,1,branch,0
CUST00094,Country_H,low,0,43,13,2436.41,0.08,0.05,0,1,online,0
CUST00095,Country_E,medium,0,5,14,10998.22,0.3,0.21,0,1,branch,0
CUST00096,Country_J,low,0,73,13,1779.85,0.03,0.07,0,1,online,0
CUST00097,Country_J,low,0,9,11,2108.3,0.3,0.05,0,1,branch,0
CUST00098,Country_F,low,0,16,19,10003.69,0.08,0.39,0,1,online,0
CUST00099,Country_I,low,0,9,12,5573.86,0.21,0.01,0,1,branch,0
CUST00100,Country_F,low,0,25,18,5554.4,0.18,0.41,0,1,online,0
CUST00101,Country_G,low,0,78,18,6040.82,0.08,0.22,0,1,mobile,0
CUST00102,Country_G,low,0,2,21,13132.16,0.15,0.15,0,1,mobile,0
CUST00103,Country_D,medium,0,15,15,3764.12,0.13,0.17,0,1,online,0
CUST00104,Country_D,medium,0,2,12,3052.33,0.21,0.17,0,1,online,0
CUST00105,Country_A,high,0,65,9,2031.31,0.1,0.12,0,1,branch,0
CUST00106,Country_G,low,0,20,12,1470.85,0.29,0.19,0,1,online,0
CUST00107,Country_E,medium,0,15,13,17899.65,0.18,0.02,0,1,mobile,0
CUST00108,Country_F,low,0,7,17,7728.82,0.05,0.11,0,0,branch,0
CUST00109,Country_I,low,0,9,16,475.61,0.23,0.23,0,1,online,0
CUST00110,Country_J,low,0,33,15,1389.32,0.23,0.1,0,1,branch,0
CUST00111,Country_I,low,0,16,16,1915.3,0.19,0.04,0,1,online,0
CUST00112,Country_H,low,0,29,16,12043.29,0.21,0.18,0,1,online,0
CUST00113,Country_I,low,0,6,16,2281.44,0.02,0.3,0,1,online,0
CUST00114,Country_I,low,0,25,12,2686.27,0.04,0.06,0,1,online,0
CUST00115,Country_F,low,0,2,20,16637.29,0.26,0.35,0,1,branch,0
CUST00116,Country_F,low,1,15,14,5506.91,0.12,0.17,0,1,mobile,1
CUST00117,Country_J,low,0,2,16,978.17,0.16,0.11,0,1,mobile,0
CUST00118,Country_G,low,0,9,13,1009.18,0.16,0.24,0,1,mobile,0
CUST00119,Country_B,high,0,31,12,811.55,0.02,0.06,0,1,online,0
CUST00120,Country_G,low,0,45,21,17914.05,0.14,0.26,0,1,mobile,0
CUST00121,Country_G,low,0,31,14,5780.02,0.1,0.09,0,1,online,0
CUST00122,Country_G,low,0,28,12,1223.72,0.32,0.09,0,1,branch,0
CUST00123,Country_B,high,0,20,20,23107.66,0.15,0.22,0,1,online,0
CUST00124,Country_F,low,0,0,18,32366.63,0.23,0.28,0,1,online,0
CUST00125,Country_I,low,0,33,12,8738.86,0.22,0.15,0,1,mobile,0
CUST00126,Country_H,low,0,6,11,4044.18,0.25,0.47,0,1,mobile,0
CUST00127,Country_H,low,0,9,15,7187.97,0.36,0.0,0,1,branch,0
CUST00128,Country_I,low,0,30,15,2249.88,0.56,0.1,0,1,mobile,0
CUST00129,Country_F,low,0,48,15,5955.47,0.15,0.17,0,1,online,0
CUST00130,Country_F,low,0,19,16,1889.95,0.07,0.4,0,0,mobile,0
CUST00131,Country_E,medium,0,21,9,1976.49,0.08,0.36,0,1,online,0
CUST00132,Country_B,high,0,21,7,6026.27,0.12,0.26,0,1,online,0
CUST00133,Country_H,low,0,7,15,48105.42,0.06,0.19,0,1,mobile,0
CUST00134,Country_J,low,0,14,14,852.77,0.12,0.12,0,1,branch,0
CUST00135,Country_I,low,0,9,15,35581.66,0.22,0.01,0,1,branch,0
CUST00136,Country_H,low,0,37,23,9603.25,0.24,0.3,0,1,online,0
CUST00137,Country_F,low,0,29,9,1529.14,0.19,0.16,0,1,online,0
CUST00138,Country_D,medium,0,0,15,5378.34,0.05,0.18,0,1,mobile,0
CUST00139,Country_B,high,0,30,19,1557.19,0.26,0.48,0,1,mobile,0
CUST00140,Country_G,low,0,2,7,2315.13,0.29,0.46,0,1,online,0
CUST00141,Country_J,low,0,12,6,5576.52,0.25,0.4,0,1,online,0
CUST00142,Country_D,medium,0,91,15,903.46,0.3,0.41,0,1,online,0
CUST00143,Country_E,medium,0,46,19,2359.76,0.08,0.14,0,1,online,0
CUST00144,Country_I,low,0,0,14,7230.67,0.25,0.06,0,1,online,0
CUST00145,Country_J,low,0,7,15,3336.51,0.42,0.06,0,1,mobile,0
CUST00146,Country_F,low,0,37,11,57281.77,0.1,0.13,0,1,mobile,0
CUST00147,Country_F,low,0,19,10,2575.21,0.31,0.23,0,1,online,0
CUST00148,Country_F,low,0,66,19,10881.53,0.1,0.04,0,0,online,0
CUST00149,Country_D,medium,0,22,10,1876.34,0.34,0.02,0,1,branch,0
CUST00150,Country_I,low,0,2,10,995.27,0.3,0.33,0,1,branch,0
CUST00151,Country_E,medium,0,25,16,47646.04,0.16,0.19,0,1,online,0
CUST00152,Country_I,low,0,58,7,7998.23,0.25,0.08,0,1,mobile,0
CUST00153,Country_I,low,0,14,17,2247.61,0.33,0.05,1,1,branch,0
CUST00154,Country_G,low,0,45,16,11491.87,0.09,0.17,0,1,mobile,0
CUST00155,Country_H,low,0,35,14,561.99,0.11,0.07,0,1,online,0
CUST00156,Country_C,high,0,38,17,3578.63,0.27,0.18,0,1,branch,0
CUST00157,Country_C,high,0,23,18,5305.04,0.32,0.15,0,1,branch,0
CUST00158,Country_I,low,0,6,15,1047.72,0.19,0.08,0,1,branch,0
CUST00159,Country_H,low,0,19,11,15617.33,0.16,0.14,0,1,mobile,0
CUST00160,Country_E,medium,0,42,12,1116.69,0.39,0.14,0,1,online,0
CUST00161,Country_H,low,0,1,19,8153.35,0.15,0.03,0,1,branch,0
CUST00162,Country_H,low,0,0,12,592.63,0.07,0.12,0,1,branch,0
CUST00163,Country_J,low,0,24,15,7106.48,0.24,0.48,0,1,online,0
CUST00164,Country_H,low,0,33,12,1365.87,0.35,0.13,0,1,mobile,0
CUST00165,Country_D,medium,0,16,12,2368.68,0.14,0.09,0,1,branch,0
CUST00166,Country_E,medium,0,43,7,1936.24,0.26,0.06,0,0,mobile,0
CUST00167,Country_I,low,0,20,10,13844.12,0.28,0.09,0,1,online,0
CUST00168,Country_J,low,0,18,16,6381.19,0.2,0.08,0,1,mobile,0
CUST00169,Country_A,high,0,20,12,11408.34,0.15,0.07,0,1,online,0
CUST00170,Country_F,low,0,19,14,26461.46,0.02,0.07,0,1,branch,0
CUST00171,Country_J,low,0,18,12,22664.71,0.29,0.03,0,1,mobile,0
CUST00172,Country_E,medium,0,19,15,2623.19,0.06,0.2,0,1,online,0
CUST00173,Country_G,low,0,28,18,1471.17,0.18,0.28,0,1,online,0
CUST00174,Country_J,low,0,19,11,6327.95,0.55,0.1,0,1,online,0
CUST00175,Country_J,low,1,28,10,154.12,0.33,0.6,0,1,branch,1
CUST00176,Country_H,low,0,9,10,8662.89,0.19,0.19,0,0,mobile,0
CUST00177,Country_E,medium,0,41,13,8660.76,0.18,0.34,0,1,online,0
CUST00178,Country_I,low,0,7,10,100836.68,0.26,0.26,0,1,branch,0
CUST00179,Country_J,low,0,9,18,10666.05,0.09,0.09,0,1,online,0
CUST00180,Country_F,low,0,91,16,7496.33,0.27,0.15,0,1,mobile,0
CUST00181,Country_J,low,0,2,19,3632.37,0.11,0.17,0,1,mobile,0
CUST00182,Country_H,low,0,4,18,10347.64,0.3,0.47,0,1,branch,0
CUST00183,Country_G,low,0,63,13,103100.03,0.13,0.23,0,1,branch,0
CUST00184,Country_F,low,0,8,19,2229.64,0.3,0.54,0,1,online,0
CUST00185,Country_G,low,0,15,16,5764.44,0.03,0.18,0,0,online,0
CUST00186,Country_J,low,0,38,15,3294.24,0.24,0.03,0,1,branch,0
CUST00187,Country_E,medium,0,111,11,2154.71,0.2,0.24,0,1,branch,0
CUST00188,Country_J,low,0,47,15,1300.75,0.2,0.43,0,1,branch,0
CUST00189,Country_G,low,0,44,20,4523.43,0.42,0.01,0,1,online,0
CUST00190,Country_F,low,0,8,13,8665.19,0.13,0.14,0,1,branch,0
CUST00191,Country_I,low,0,28,18,2352.13,0.37,0.18,0,1,mobile,0
CUST00192,Country_G,low,0,19,18,3686.41,0.19,0.34,0,1,mobile,0
CUST00193,Country_J,low,0,29,8,6488.18,0.09,0.58,0,1,mobile,0
CUST00194,Country_J,low,0,0,13,5867.44,0.07,0.09,0,1,online,0
CUST00195,Country_J,low,0,98,21,1284.49,0.02,0.25,0,1,mobile,0
CUST00196,Country_G,low,0,14,14,2559.92,0.33,0.1,0,1,branch,0
CUST00197,Country_I,low,0,14,13,3527.69,0.05,0.38,0,1,branch,0
CUST00198,Country_F,low,0,10,14,11096.22,0.18,0.04,0,1,branch,0
CUST00199,Country_E,medium,0,39,11,519.06,0.32,0.22,0,1,branch,0
CUST00200,Country_D,medium,0,7,16,3092.27,0.2,0.58,0,1,online,0
